"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"Henri Levée",1,"1885-03-17","4e arrondissement de Paris","Paris",11,1900-01-01,1906-01-01,1906-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Henri_Lev%C3%A9e","Naissance	17 mars 1885
à 4e arrondissement de Paris	","1er janvier 1906","1er janvier 1906",48.8562021,2.3556193
"Allan Muhr",3,"1882-01-23","Philadelphie (États-Unis)","Philadelphie",12,1900-01-01,1906-01-01,1907-01-05,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Allan_Muhr","Naissance	23 janvier 1882
à Philadelphie (États-Unis)	","1er janvier 1906","5 janvier 1907",39.9527237,-75.1635262
"Augustin Pujol",1,"1883-05-10","Toulouse (France)","Toulouse",13,1900-01-01,1906-01-01,1906-01-01,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 1er janvier 1906 contre la Nouvelle-Zélande",2,"https://fr.wikipedia.org//wiki/Augustin_Pujol","Naissance	10 mai 1883
à Toulouse (France)	","1er janvier 1906","1er janvier 1906",43.6044622,1.4442469
"Paul Sagot",3,"1885-01-15","Dijon (France)","Dijon",14,1900-01-01,1906-01-01,1909-02-23,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 23 février 1909 contre le pays de Galles",5,"https://fr.wikipedia.org//wiki/Paul_Sagot","Naissance	15 janvier 1885
à Dijon (France)	","1er janvier 1906","23 février 1909",47.3215806,5.0414701
"André Vergès",3,NA,NA,NA,15,1900-01-01,1906-01-01,1907-01-05,"le 1er janvier 1906 contre la Nouvelle-Zélande","le 5 janvier 1907 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Verg%C3%A8s",NA,"1er janvier 1906","5 janvier 1907",NA,NA
"Pierre Gaudermen",1,"1882-10-20","12e arrondissement de Paris","Paris",16,1900-01-01,1906-03-22,1906-03-22,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Pierre_Gaudermen","Naissance	
20 octobre 1882
12e arrondissement de Paris","22 mars 1906","22 mars 1906",48.8396154,2.3957517
"Albert Hubert",7,NA,NA,NA,17,1900-01-01,1906-03-22,1909-03-20,"le 22 mars 1906 contre l'Angleterre","le 20 mars 1909 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Albert_Hubert&action=edit&redlink=1",NA,"22 mars 1906","20 mars 1909",NA,NA
"Émile Lesieur",12,"1885-09-16","Paris 13e (France)","Paris",18,1900-01-01,1906-03-22,1912-03-25,"le 22 mars 1906 contre l'Angleterre","le 25 mars 1912 contre le pays de Galles",6,"https://fr.wikipedia.org//wiki/%C3%89mile_Lesieur","Naissance	16 septembre 1885
à Paris 13e (France)	","22 mars 1906","25 mars 1912",48.8206809,2.3635646
"Ernest William Lewis",1,NA,NA,NA,19,1900-01-01,1906-03-22,1906-03-22,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Ernest_William_Lewis&action=edit&redlink=1",NA,"22 mars 1906","22 mars 1906",NA,NA
"Paul Maclos",2,NA,NA,NA,20,1900-01-01,1906-03-22,1907-01-05,"le 22 mars 1906 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",7,"https://fr.wikipedia.org//w/index.php?title=Paul_Maclos&action=edit&redlink=1",NA,"22 mars 1906","5 janvier 1907",NA,NA
"G. Maurin",1,NA,NA,NA,21,1900-01-01,1906-03-22,1906-03-22,"le 22 mars 1906 contre l'Angleterre","le 22 mars 1906 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=G._Maurin&action=edit&redlink=1",NA,"22 mars 1906","22 mars 1906",NA,NA
"Théodore Varvier",6,"1884-04-29","Lyon 4e (France)","Lyon",22,1900-01-01,1906-03-22,1912-01-01,"le 22 mars 1906 contre l'Angleterre","le 1er janvier 1912 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Th%C3%A9odore_Varvier","Naissance	29 avril 1884
à Lyon 4e (France)	","22 mars 1906","1er janvier 1912",45.7578137,4.8320114
"Charles Beaurin",2,"1879-10-25","Paris 16e (France)","Paris",23,1900-01-01,1907-01-05,1908-01-01,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Charles_Beaurin","Naissance	25 octobre 1879
à Paris 16e (France)	","5 janvier 1907","1er janvier 1908",48.8631709,2.2757648
"Marc Giacardy",1,"1881-02-15","Bordeaux (France)","Bordeaux",24,1900-01-01,1907-01-05,1907-01-05,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Marc_Giacardy","Naissance	15 février 1881
à Bordeaux (France)	","5 janvier 1907","5 janvier 1907",44.841225,-0.5800364
"Henri Isaac",2,NA,NA,NA,25,1900-01-01,1907-01-05,1908-01-01,"le 5 janvier 1907 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Isaac&action=edit&redlink=1",NA,"5 janvier 1907","1er janvier 1908",NA,NA
"Henri Martin",2,NA,NA,NA,26,1900-01-01,1907-01-05,1908-03-02,"le 5 janvier 1907 contre l'Angleterre","le 2 mars 1908 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Martin_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"5 janvier 1907","2 mars 1908",NA,NA
"Paul Mauriat",19,"1887-05-27","Neuville-sur-Saône (France)","Neuville-sur-Saône",27,1900-01-01,1907-01-05,1913-03-24,"le 5 janvier 1907 contre l'Angleterre","le 24 mars 1913 contre l'Irlande",5,"https://fr.wikipedia.org//wiki/Paul_Mauriat_(rugby_%C3%A0_XV)","Naissance	27 mai 1887
à Neuville-sur-Saône (France)	","5 janvier 1907","24 mars 1913",45.8765557,4.8395051
"A. Poirier",1,NA,NA,NA,28,1900-01-01,1907-01-05,1907-01-05,"le 5 janvier 1907 contre l'Angleterre","le 5 janvier 1907 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=A._Poirier&action=edit&redlink=1",NA,"5 janvier 1907","5 janvier 1907",NA,NA
"Charles Vareilles[Note 1]",5,"1885-07-25","Côn Son (Vietnam)","Côn Son",29,1900-01-01,1907-01-05,1910-03-03,"le 5 janvier 1907 contre l'Angleterre","le 3 mars 1910 contre l'Angleterre",4,"https://fr.wikipedia.org//wiki/Charles_Vareilles","Naissance	25 juillet 1885
à Poulo Condor (Indochine française)	","5 janvier 1907","3 mars 1910",8.6949074,106.5884723
"Georges Borchard",5,"1885-12-25","Bordeaux (France)","Bordeaux",30,1900-01-01,1908-01-01,1911-03-25,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Georges_Borchard","Naissance	25 décembre 1885
à Bordeaux (France)	","1er janvier 1908","25 mars 1911",44.841225,-0.5800364
"René Duval",6,NA,NA,NA,31,1900-01-01,1908-01-01,1911-03-25,"le 1er janvier 1908 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duval_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"1er janvier 1908","25 mars 1911",NA,NA
"Pierre Guillemin",11,"1886-06-14","Fallowfield","Fallowfield",32,1900-01-01,1908-01-01,1911-02-28,"le 1er janvier 1908 contre l'Angleterre","le 28 février 1911 contre le pays de Galles",3,"https://fr.wikipedia.org//wiki/Pierre_Guillemin","Naissance	
14 juin 1886
Fallowfield","1er janvier 1908","28 février 1911",53.4448039,-2.2214645
"Alfred Mayssonnié",3,"1884-02-10","Lavernose-Lacasse (France)","Lavernose-Lacasse",33,1900-01-01,1908-01-01,1910-01-01,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Alfred_Mayssonni%C3%A9","Naissance	10 février 1884
à Lavernose-Lacasse (France)	","1er janvier 1908","1er janvier 1910",43.396482,1.2620204
"Henri Moure",1,NA,NA,NA,34,1900-01-01,1908-01-01,1908-01-01,"le 1er janvier 1908 contre l'Angleterre","le 1er janvier 1908 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Moure&action=edit&redlink=1",NA,"1er janvier 1908","1er janvier 1908",NA,NA
"René de Mallemann[Note 2]",7,"1885-11-02","16e arrondissement de Paris","Paris",35,1900-01-01,1908-01-01,1910-03-28,"le 1er janvier 1908 contre l'Angleterre","le 28 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_de_Mallemann","Naissance	2 novembre 1885
à 16e arrondissement de Paris	","1er janvier 1908","28 mars 1910",48.8631709,2.2757648
"Maurice Leuvielle",7,"1881-06-28","Saint-Loubès (France)","Saint-Loubès",36,1900-01-01,1908-03-02,1914-04-13,"le 2 mars 1908 contre le pays de Galles","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Maurice_Leuvielle","Naissance	28 juin 1881
à Saint-Loubès (France)	","2 mars 1908","13 avril 1914",44.9167311,-0.4271005
"Alphonse Massé",7,"1883-05-23","Saint-Christophe-de-Double (France)","Saint-Christophe-de-Double",37,1900-01-01,1908-03-02,1910-03-28,"le 2 mars 1908 contre le pays de Galles","le 28 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Alphonse_Mass%C3%A9","Naissance	23 mai 1883
à Saint-Christophe-de-Double (France)	","2 mars 1908","28 mars 1910",45.0814101,0.0158649
"Jean Caujolle",5,"1888-07-31","Saint-Girons (France)","Saint-Girons",38,1900-01-01,1909-01-30,1914-04-13,"le 30 janvier 1909 contre l'Angleterre","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean_Caujolle","Naissance	31 juillet 1888
à Saint-Girons (France)	","30 janvier 1909","13 avril 1914",42.9841865,1.1464455
"Georges Fourcade",2,NA,NA,NA,39,1900-01-01,1909-01-30,1909-02-23,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Georges_Fourcade_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"30 janvier 1909","23 février 1909",NA,NA
"Henri Houblain",2,NA,NA,NA,40,1900-01-01,1909-01-30,1910-01-01,"le 30 janvier 1909 contre l'Angleterre","le 1er janvier 1910 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Houblain&action=edit&redlink=1",NA,"30 janvier 1909","1er janvier 1910",NA,NA
"Jules Icard",2,NA,NA,NA,41,1900-01-01,1909-01-30,1909-02-23,"le 30 janvier 1909 contre l'Angleterre","le 23 février 1909 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Jules_Icard&action=edit&redlink=1",NA,"30 janvier 1909","23 février 1909",NA,NA
"André Theuriet",5,"1887-03-30","Lyon 2e (France)","Lyon",42,1900-01-01,1909-01-30,1913-01-25,"le 30 janvier 1909 contre l'Angleterre","le 25 janvier 1913 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Theuriet_(rugby_%C3%A0_XV)","Naissance	30 mars 1887
à Lyon 2e (France)	","30 janvier 1909","25 janvier 1913",45.7578137,4.8320114
"Étienne de Jouvencel",2,NA,NA,NA,43,1900-01-01,1909-02-23,1909-03-20,"le 23 février 1909 contre le pays de Galles","le 20 mars 1909 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=%C3%89tienne_de_Jouvencel&action=edit&redlink=1",NA,"23 février 1909","20 mars 1909",NA,NA
"Paul Dupré",1,NA,NA,NA,44,1900-01-01,1909-02-23,1909-02-23,"le 23 février 1909 contre le pays de Galles","le 23 février 1909 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Paul_Dupr%C3%A9&action=edit&redlink=1",NA,"23 février 1909","23 février 1909",NA,NA
"Marcel Burgun",11,"1890-01-30","Saint-Pétersbourg (Russie)","Saint-Pétersbourg",45,1900-01-01,1909-03-20,1914-04-13,"le 20 mars 1909 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Marcel_Burgun","Naissance	30 janvier 1890
à Saint-Pétersbourg (Empire russe)	","20 mars 1909","13 avril 1914",59.9606739,30.1586551
"Jacques Gommes",1,NA,NA,NA,46,1900-01-01,1909-03-20,1909-03-20,"le 20 mars 1909 contre l'Irlande","le 20 mars 1909 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Gommes&action=edit&redlink=1",NA,"20 mars 1909","20 mars 1909",NA,NA
"Augustin Hourdebaight",5,NA,NA,NA,47,1900-01-01,1909-03-20,1910-03-28,"le 20 mars 1909 contre l'Irlande","le 28 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Augustin_Hourdebaight&action=edit&redlink=1",NA,"20 mars 1909","28 mars 1910",NA,NA
"Marcel Legrain",12,"1890-06-14","Paris (France)","Paris",48,1900-01-01,1909-03-20,1914-03-02,"le 20 mars 1909 contre l'Irlande","le 2 mars 1914 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Marcel_Legrain","Naissance	14 juin 1890
à Paris (France)	","20 mars 1909","2 mars 1914",48.8534951,2.3483915
"Claude Martin",3,NA,NA,NA,49,1900-01-01,1909-03-20,1910-01-22,"le 20 mars 1909 contre l'Irlande","le 22 janvier 1910 contre l'Écosse",0,"https://fr.wikipedia.org//w/index.php?title=Claude_Martin(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"20 mars 1909","22 janvier 1910",NA,NA
"Francis Mouronval",1,"1881-06-04","Avesnes-sur-Helpe (France)","Avesnes-sur-Helpe",50,1900-01-01,1909-03-20,1909-03-20,"le 20 mars 1909 contre l'Irlande","le 20 mars 1909 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Francis_Mouronval","Naissance	4 juin 1881
à Avesnes-sur-Helpe (France)	","20 mars 1909","20 mars 1909",50.1218835,3.9321056
"Joe Anduran",1,"1882-05-24","Bayonne (France)","Bayonne",51,1910-01-01,1910-01-01,1910-01-01,"le 1er janvier 1910 contre le pays de Galles","le 1er janvier 1910 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Joe_Anduran","Naissance	24 mai 1882
à Bayonne (France)	","1er janvier 1910","1er janvier 1910",43.4945144,-1.4736657
"René Boudreaux",2,"1880-11-27","Paris 6e (France)","Paris",52,1910-01-01,1910-01-01,1910-01-22,"le 1er janvier 1910 contre le pays de Galles","le 22 janvier 1910 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Boudreaux","Naissance	27 novembre 1880
à Paris 6e (France)	","1er janvier 1910","22 janvier 1910",48.8534951,2.3483915
"Maurice Bruneau",4,"1883-12-01","Bordeaux (France)","Bordeaux",53,1910-01-01,1910-01-01,1913-01-25,"le 1er janvier 1910 contre le pays de Galles","le 25 janvier 1913 contre l'Angleterre",3,"https://fr.wikipedia.org//wiki/Maurice_Bruneau","Naissance	1er décembre 1883
à Bordeaux (France)	","1er janvier 1910","25 janvier 1913",44.841225,-0.5800364
"Rémi Laffitte",2,NA,NA,NA,54,1910-01-01,1910-01-01,1910-01-22,"le 1er janvier 1910 contre le pays de Galles","le 22 janvier 1910 contre l'Écosse",3,"https://fr.wikipedia.org//w/index.php?title=R%C3%A9mi_Laffitte&action=edit&redlink=1",NA,"1er janvier 1910","22 janvier 1910",NA,NA
"René Menrath[Note 3]",1,NA,NA,NA,55,1910-01-01,1910-01-01,1910-01-01,"le 1er janvier 1910 contre le pays de Galles","le 1er janvier 1910 contre le pays de Galles",8,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Menrath&action=edit&redlink=1",NA,"1er janvier 1910","1er janvier 1910",NA,NA
"M. Thévenot",3,NA,NA,NA,56,1910-01-01,1910-01-01,1910-03-22,"le 1er janvier 1910 contre le pays de Galles","le 22 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=M._Th%C3%A9venot&action=edit&redlink=1",NA,"1er janvier 1910","22 mars 1910",NA,NA
"Jules Cadenat",7,"1885-09-18","Béziers (France)","Béziers",57,1910-01-01,1910-01-22,1913-03-24,"le 22 janvier 1910 contre l'Écosse","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jules_Cadenat","Naissance	18 septembre 1885
à Béziers (France)	","22 janvier 1910","24 mars 1913",43.3426562,3.2131307
"Julien Combe",4,NA,NA,NA,58,1910-01-01,1910-01-22,1911-01-02,"le 22 janvier 1910 contre l'Écosse","le 2 janvier 1911 contre l'Écosse",0,"https://fr.wikipedia.org//w/index.php?title=Julien_Combe&action=edit&redlink=1",NA,"22 janvier 1910","2 janvier 1911",NA,NA
"Jacques Dedet",8,NA,NA,NA,59,1910-01-01,1910-01-22,1913-03-24,"le 22 janvier 1910 contre l'Écosse","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Dedet&action=edit&redlink=1",NA,"22 janvier 1910","24 mars 1913",NA,NA
"Guillaume Laterrade",5,"1889-05-19","Naissance	
19 mai 1889",NA,60,1910-01-01,1910-03-03,1911-03-25,"le 3 mars 1910 contre l'Angleterre","le 25 mars 1911 contre l'Irlande",3,"https://fr.wikipedia.org//wiki/Guillaume_Laterrade","Naissance	
19 mai 1889","3 mars 1910","25 mars 1911",NA,NA
"Joseph Jourdain de Muizon",1,"1890-12-29","Versailles","Versailles",61,1910-01-01,1910-03-28,1910-03-28,"le 28 mars 1910 contre l'Irlande","le 28 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Joseph_Jourdain_de_Muizon","Naissance	
29 décembre 1890
Versailles","28 mars 1910","28 mars 1910",48.8035403,2.1266886
"Fernand Roujas",1,NA,NA,NA,62,1910-01-01,1910-03-28,1910-03-28,"le 28 mars 1910 contre l'Irlande","le 28 mars 1910 contre l'Irlande",0,"https://fr.wikipedia.org//w/index.php?title=Fernand_Roujas&action=edit&redlink=1",NA,"28 mars 1910","28 mars 1910",NA,NA
"Joseph Bavozet",3,"1887-05-26","Lyon 2e (France)","Lyon",63,1910-01-01,1911-01-02,1911-02-28,"le 2 janvier 1911 contre l'Écosse","le 28 février 1911 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Joseph_Bavozet","Naissance	26 mai 1887
à Lyon 2e (France)	","2 janvier 1911","28 février 1911",45.7578137,4.8320114
"Paul Decamps",1,NA,NA,NA,64,1910-01-01,1911-01-02,1911-01-02,"le 2 janvier 1911 contre l'Écosse","le 2 janvier 1911 contre l'Écosse",4,"https://fr.wikipedia.org//w/index.php?title=Paul_Decamps&action=edit&redlink=1",NA,"2 janvier 1911","2 janvier 1911",NA,NA
"Pierre Failliot",8,"1889-02-25",NA,NA,65,1910-01-01,1911-01-02,1913-02-27,"le 2 janvier 1911 contre l'Écosse","le 27 février 1913 contre le pays de Galles",15,"https://fr.wikipedia.org//wiki/Pierre_Failliot","Naissance	25 février 1889	","2 janvier 1911","27 février 1913",NA,NA
"Fernand Forgues",11,"1884-11-30","Pau (France)","Pau",66,1910-01-01,1911-01-02,1914-04-13,"le 2 janvier 1911 contre l'Écosse","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Fernand_Forgues","Naissance	30 novembre 1884
à Pau (France)	","2 janvier 1911","13 avril 1914",43.2957547,-0.3685668
"André Francquenelle",3,"1889-08-15","Rochefort-sur-Mer (France)","Rochefort-sur-Mer",67,1910-01-01,1911-01-02,1913-03-24,"le 2 janvier 1911 contre l'Écosse","le 24 mars 1913 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Francquenelle","Naissance	15 août 1889
à Rochefort-sur-Mer (France)	","2 janvier 1911","24 mars 1913",45.9366592,-0.9616399
"Pierre Mounicq",9,"1887-02-09","Luz-Saint-Sauveur (France)","Luz-Saint-Sauveur",68,1910-01-01,1911-01-02,1913-01-25,"le 2 janvier 1911 contre l'Écosse","le 25 janvier 1913 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Pierre_Mounicq","Naissance	9 février 1887
à Luz-Saint-Sauveur (France)	","2 janvier 1911","25 janvier 1913",42.8721142,-0.0043418
"Georges Peyroutou",2,NA,NA,NA,69,1910-01-01,1911-01-02,1911-01-28,"le 2 janvier 1911 contre l'Écosse","le 28 janvier 1911 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Georges_Peyroutou&action=edit&redlink=1",NA,"2 janvier 1911","28 janvier 1911",NA,NA
"Gilbert Charpentier",3,NA,NA,NA,70,1910-01-01,1911-01-28,1912-04-08,"le 28 janvier 1911 contre l'Angleterre","le 8 avril 1912 contre l'Angleterre",0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Charpentier&action=edit&redlink=1",NA,"28 janvier 1911","8 avril 1912",NA,NA
"François Dutour",6,NA,NA,NA,71,1910-01-01,1911-01-28,1913-01-01,"le 28 janvier 1911 contre l'Angleterre","le 1er janvier 1913 contre l'Écosse",2,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Dutour&action=edit&redlink=1",NA,"28 janvier 1911","1er janvier 1913",NA,NA
"René Duffour",1,NA,NA,NA,72,1910-01-01,1911-01-28,1911-02-28,"le 28 janvier 1911 contre le pays de Galles","le 28 février 1911 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Duffour&action=edit&redlink=1",NA,"28 janvier 1911","28 février 1911",NA,NA
"Charles du Souich",2,"1890-05-07","Tours (France)","Tours",73,1910-01-01,1911-02-28,1911-03-25,"le 28 février 1911 contre le pays de Galles","le 25 mars 1911 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Charles_du_Souich","Naissance	7 mai 1890
à Tours (France)	","28 février 1911","25 mars 1911",47.3900474,0.6889268
"Robert Monier",2,"1885-02-20",NA,NA,74,1910-01-01,1911-03-25,1912-01-20,"le 25 mars 1911 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Robert_Monier","Naissance	20 février 1885	","25 mars 1911","20 janvier 1912",NA,NA
"Raoul Paoli",3,"1887-11-24","Courtalain","Courtalain",75,1910-01-01,1911-03-25,1912-01-20,"le 25 mars 1911 contre l'Irlande","le 20 janvier 1912 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Raoul_Paoli","Naissance	24 novembre 1887
Courtalain	","25 mars 1911","20 janvier 1912",48.0833359,1.13637129916974
"Maurice Boyau",6,"1888-05-08","Si Mustapha (Algérie)","Si Mustapha",76,1910-01-01,1912-01-01,2013-03-24,"le 1er janvier 1912 contre l'Irlande","le 24 mars 2013 contre l'Irlande",4,"https://fr.wikipedia.org//wiki/Maurice_Boyau","Naissance	8 mai 1888
Mustapha (Algérie française)	","1er janvier 1912","24 mars 2013",36.7336375,3.62534787378641
"Jean Jacques Conilh de Beyssac",5,"1890-06-12","Caudéran (France)","Caudéran",77,1910-01-01,1912-01-01,1914-04-13,"le 1er janvier 1912 contre l'Irlande","le 13 avril 1914 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean_Jacques_Conilh_de_Beyssac","Naissance	12 juin 1890
à Caudéran (France)	","1er janvier 1912","13 avril 1914",44.8517968,-0.6175077
